Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
channel_out_op[315],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_29_,0.163,1.88,1.717,MET,2,DFF_X1
channel_out_op[348],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_62_,0.162,1.88,1.718,MET,2,DFF_X1
channel_out_op[305],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_19_,0.161,1.88,1.719,MET,2,DFF_X1
flow_ctrl_out_ip[5],genblk1_vcr/ips_1__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_1_,0.161,1.88,1.719,MET,2,DFF_X1
channel_out_op[340],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_54_,0.161,1.88,1.719,MET,2,DFF_X1
channel_out_op[326],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_40_,0.16,1.88,1.72,MET,2,DFF_X1
channel_out_op[325],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_39_,0.16,1.88,1.72,MET,2,DFF_X1
channel_out_op[333],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_47_,0.159,1.88,1.721,MET,2,DFF_X1
channel_out_op[23],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_17_,0.159,1.88,1.721,MET,2,DFF_X1
flow_ctrl_out_ip[4],genblk1_vcr/ips_1__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_0_,0.159,1.88,1.721,MET,2,DFF_X1
channel_out_op[339],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_53_,0.158,1.88,1.722,MET,2,DFF_X1
channel_out_op[337],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_51_,0.158,1.88,1.722,MET,2,DFF_X1
channel_out_op[314],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_28_,0.158,1.88,1.722,MET,2,DFF_X1
channel_out_op[316],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_30_,0.158,1.88,1.722,MET,2,DFF_X1
channel_out_op[308],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_22_,0.157,1.88,1.723,MET,2,DFF_X1
channel_out_op[299],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_13_,0.157,1.88,1.723,MET,2,DFF_X1
channel_out_op[310],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_24_,0.157,1.88,1.723,MET,2,DFF_X1
channel_out_op[321],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_35_,0.157,1.88,1.723,MET,2,DFF_X1
channel_out_op[318],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_32_,0.156,1.88,1.724,MET,2,DFF_X1
channel_out_op[323],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_37_,0.156,1.88,1.724,MET,2,DFF_X1
channel_out_op[17],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_11_,0.155,1.88,1.725,MET,2,DFF_X1
channel_out_op[320],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_34_,0.155,1.88,1.725,MET,2,DFF_X1
channel_out_op[313],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_27_,0.154,1.88,1.726,MET,2,DFF_X1
channel_out_op[327],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_41_,0.154,1.88,1.726,MET,2,DFF_X1
channel_out_op[347],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_61_,0.154,1.88,1.726,MET,2,DFF_X1
channel_out_op[19],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_13_,0.154,1.88,1.726,MET,2,DFF_X1
channel_out_op[8],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_2_,0.153,1.88,1.727,MET,2,DFF_X1
channel_out_op[322],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_36_,0.153,1.88,1.727,MET,2,DFF_X1
channel_out_op[307],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_21_,0.153,1.88,1.727,MET,2,DFF_X1
channel_out_op[30],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_24_,0.153,1.88,1.727,MET,2,DFF_X1
channel_out_op[303],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_17_,0.153,1.88,1.727,MET,2,DFF_X1
channel_out_op[329],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_43_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[309],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_23_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[331],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_45_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[312],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_26_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[9],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_3_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[335],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_49_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[332],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_46_,0.152,1.88,1.728,MET,2,DFF_X1
channel_out_op[20],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_14_,0.151,1.88,1.729,MET,2,DFF_X1
channel_out_op[344],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_58_,0.151,1.88,1.729,MET,2,DFF_X1
channel_out_op[26],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_20_,0.151,1.88,1.729,MET,2,DFF_X1
channel_out_op[25],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_19_,0.151,1.88,1.729,MET,2,DFF_X1
channel_out_op[342],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_56_,0.151,1.88,1.729,MET,2,DFF_X1
channel_out_op[319],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_33_,0.151,1.88,1.729,MET,2,DFF_X1
flow_ctrl_out_ip[1],genblk1_vcr/ips_0__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_0_,0.15,1.88,1.73,MET,2,DFF_X1
channel_out_op[297],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_11_,0.15,1.88,1.73,MET,2,DFF_X1
channel_out_op[10],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_4_,0.15,1.88,1.73,MET,2,DFF_X1
channel_out_op[32],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_26_,0.15,1.88,1.73,MET,2,DFF_X1
channel_out_op[328],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_42_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[324],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_38_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[29],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_23_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[341],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_55_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[296],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_10_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[27],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_21_,0.149,1.88,1.731,MET,2,DFF_X1
channel_out_op[18],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_12_,0.148,1.88,1.732,MET,2,DFF_X1
channel_out_op[336],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_50_,0.148,1.88,1.732,MET,2,DFF_X1
channel_out_op[334],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_48_,0.148,1.88,1.732,MET,2,DFF_X1
channel_out_op[301],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_15_,0.148,1.88,1.732,MET,2,DFF_X1
channel_out_op[317],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_31_,0.147,1.88,1.733,MET,2,DFF_X1
channel_out_op[45],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_39_,0.147,1.88,1.733,MET,2,DFF_X1
channel_out_op[11],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_5_,0.147,1.88,1.733,MET,2,DFF_X1
flow_ctrl_out_ip[2],genblk1_vcr/ips_0__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_1_,0.147,1.88,1.733,MET,2,DFF_X1
channel_out_op[338],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_52_,0.146,1.88,1.734,MET,2,DFF_X1
channel_out_op[300],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_14_,0.146,1.88,1.734,MET,2,DFF_X1
channel_out_op[15],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_9_,0.146,1.88,1.734,MET,2,DFF_X1
channel_out_op[276],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_60_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[311],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_25_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[28],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_22_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[22],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_16_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[244],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_28_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[14],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_8_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[304],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_18_,0.145,1.88,1.735,MET,2,DFF_X1
channel_out_op[34],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_28_,0.144,1.88,1.736,MET,2,DFF_X1
channel_out_op[7],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_1_,0.144,1.88,1.736,MET,2,DFF_X1
channel_out_op[35],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_29_,0.144,1.88,1.736,MET,2,DFF_X1
channel_out_op[37],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_31_,0.144,1.88,1.736,MET,2,DFF_X1
channel_out_op[31],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_25_,0.144,1.88,1.736,MET,2,DFF_X1
channel_out_op[349],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_63_,0.143,1.88,1.737,MET,2,DFF_X1
channel_out_op[245],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_29_,0.143,1.88,1.737,MET,2,DFF_X1
channel_out_op[42],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_36_,0.143,1.88,1.737,MET,2,DFF_X1
channel_out_op[47],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_41_,0.142,1.88,1.738,MET,2,DFF_X1
channel_out_op[278],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_62_,0.142,1.88,1.738,MET,2,DFF_X1
channel_out_op[46],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_40_,0.142,1.88,1.738,MET,2,DFF_X1
channel_out_op[21],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_15_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[43],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_37_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[24],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_18_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[1],genblk1_vcr/ops_0__opc/cho/genblk2_flit_validq/q_reg_0_,0.141,1.88,1.739,MET,2,DFFR_X1
channel_out_op[330],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_44_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[33],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_27_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[275],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_59_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[274],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_58_,0.141,1.88,1.739,MET,2,DFF_X1
channel_out_op[39],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_33_,0.14,1.88,1.74,MET,2,DFF_X1
channel_out_op[41],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_35_,0.14,1.88,1.74,MET,2,DFF_X1
channel_out_op[6],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_0_,0.14,1.88,1.74,MET,2,DFF_X1
channel_out_op[93],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_17_,0.139,1.88,1.741,MET,2,DFF_X1
channel_out_op[256],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_40_,0.139,1.88,1.741,MET,2,DFF_X1
channel_out_op[255],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_39_,0.139,1.88,1.741,MET,2,DFF_X1
channel_out_op[238],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_22_,0.139,1.88,1.741,MET,2,DFF_X1
channel_out_op[16],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_10_,0.138,1.88,1.742,MET,2,DFF_X1
channel_out_op[12],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_6_,0.138,1.88,1.742,MET,2,DFF_X1
channel_out_op[290],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_4_,0.138,1.88,1.742,MET,2,DFF_X1
channel_out_op[254],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_38_,0.138,1.88,1.742,MET,2,DFF_X1
channel_out_op[64],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_58_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[62],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_56_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[291],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_5_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[13],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_7_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[277],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_61_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[229],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_13_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[251],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_35_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[289],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_3_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[253],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_37_,0.137,1.88,1.743,MET,2,DFF_X1
channel_out_op[68],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_62_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[252],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_36_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[248],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_32_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[273],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_57_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[40],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_34_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[240],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_24_,0.136,1.88,1.744,MET,2,DFF_X1
channel_out_op[302],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_16_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[257],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_41_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[293],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_7_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[249],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_33_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[295],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_9_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[36],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_30_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[63],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_57_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[265],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_49_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[258],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_42_,0.135,1.88,1.745,MET,2,DFF_X1
channel_out_op[55],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_49_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[38],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_32_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[271],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_55_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[246],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_30_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[60],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_54_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[44],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_38_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[298],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_12_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[288],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_2_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[233],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_17_,0.134,1.88,1.746,MET,2,DFF_X1
channel_out_op[270],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_54_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[66],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_60_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[95],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_19_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[57],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_51_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[67],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_61_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[294],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_8_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[58],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_52_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[236],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_20_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[250],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_34_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[4],genblk1_vcr/ops_0__opc/cho/genblk2_genblk1_flit_ctrlq/q_reg_2_,0.133,1.88,1.747,MET,2,DFF_X1
channel_out_op[237],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_21_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[243],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_27_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[78],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_2_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[52],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_46_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[269],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_53_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[87],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_11_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[79],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_3_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[272],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_56_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[90],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_14_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[268],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_52_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[80],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_4_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[53],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_47_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[65],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_59_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[89],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_13_,0.132,1.88,1.748,MET,2,DFF_X1
channel_out_op[5],genblk1_vcr/ops_0__opc/cho/genblk2_genblk1_flit_ctrlq/q_reg_3_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[242],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_26_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[77],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_1_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[102],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_26_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[76],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_0_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[267],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_51_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[2],genblk1_vcr/ops_0__opc/cho/genblk2_genblk1_flit_ctrlq/q_reg_0_,0.131,1.88,1.749,MET,2,DFF_X1
channel_out_op[59],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_53_,0.13,1.88,1.75,MET,2,DFF_X1
channel_out_op[261],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_45_,0.13,1.88,1.75,MET,2,DFF_X1
flow_ctrl_out_ip[14],genblk1_vcr/ips_4__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_1_,0.13,1.88,1.75,MET,2,DFF_X1
channel_out_op[96],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_20_,0.13,1.88,1.75,MET,2,DFF_X1
channel_out_op[97],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_21_,0.13,1.88,1.75,MET,2,DFF_X1
channel_out_op[286],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_0_,0.13,1.88,1.75,MET,2,DFF_X1
channel_out_op[235],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_19_,0.129,1.88,1.751,MET,2,DFF_X1
channel_out_op[247],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_31_,0.129,1.88,1.751,MET,2,DFF_X1
channel_out_op[48],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_42_,0.129,1.88,1.751,MET,2,DFF_X1
channel_out_op[61],genblk1_vcr/ops_0__opc/cho/flit_dataq/q_reg_55_,0.129,1.88,1.751,MET,2,DFF_X1
channel_out_op[85],genblk1_vcr/ops_1__opc/cho/flit_dataq/q_reg_9_,0.128,1.88,1.752,MET,2,DFF_X1
channel_out_op[142],genblk1_vcr/ops_2__opc/cho/genblk2_genblk1_flit_ctrlq/q_reg_0_,0.128,1.88,1.752,MET,2,DFF_X1
channel_out_op[239],genblk1_vcr/ops_3__opc/cho/flit_dataq/q_reg_23_,0.128,1.88,1.752,MET,2,DFF_X1
