Port,Port Number,Min Slack (ns),Avg Slack (ns),Max Slack (ns),Paths,Port Delay (ns)
channel_in_ip[31],31,0.104,0.104,0.104,1,0.002
channel_in_ip[32],32,0.106,0.106,0.106,1,0.002
channel_in_ip[33],33,0.103,0.103,0.103,1,0.002
channel_in_ip[34],34,0.103,0.103,0.103,1,0.002
channel_in_ip[35],35,0.103,0.103,0.103,1,0.002
channel_in_ip[36],36,0.103,0.103,0.103,1,0.003
channel_in_ip[37],37,0.103,0.103,0.103,1,0.002
channel_in_ip[38],38,0.103,0.103,0.103,1,0.002
channel_in_ip[39],39,0.104,0.104,0.104,1,0.002
channel_in_ip[40],40,0.103,0.103,0.103,1,0.002
channel_in_ip[41],41,0.104,0.104,0.104,1,0.003
channel_in_ip[42],42,0.103,0.103,0.103,1,0.002
channel_in_ip[43],43,0.103,0.103,0.103,1,0.002
channel_in_ip[44],44,0.104,0.104,0.104,1,0.002
channel_in_ip[45],45,0.104,0.104,0.104,1,0.002
channel_in_ip[46],46,0.104,0.104,0.104,1,0.002
channel_in_ip[47],47,0.103,0.103,0.103,1,0.002
channel_in_ip[48],48,0.103,0.103,0.103,1,0.002
channel_in_ip[49],49,0.11,0.11,0.11,1,0.005
channel_in_ip[50],50,0.103,0.103,0.103,1,0.003
channel_in_ip[51],51,0.105,0.105,0.105,1,0.003
channel_in_ip[52],52,0.105,0.105,0.105,1,0.002
channel_in_ip[53],53,0.111,0.111,0.111,1,0.002
channel_in_ip[54],54,0.105,0.105,0.105,1,0.004
channel_in_ip[55],55,0.103,0.103,0.103,1,0.002
channel_in_ip[56],56,0.105,0.105,0.105,1,0.003
channel_in_ip[57],57,0.105,0.105,0.105,1,0.002
channel_in_ip[58],58,0.106,0.106,0.106,1,0.003
channel_in_ip[59],59,0.104,0.104,0.104,1,0.002
channel_in_ip[60],60,0.103,0.103,0.103,1,0.002
channel_in_ip[61],61,0.104,0.104,0.104,1,0.003
channel_in_ip[62],62,0.103,0.103,0.103,1,0.002
channel_in_ip[63],63,0.104,0.104,0.104,1,0.002
channel_in_ip[64],64,0.104,0.104,0.104,1,0.003
channel_in_ip[65],65,0.104,0.104,0.104,1,0.002
channel_in_ip[66],66,0.105,0.105,0.105,1,0.003
channel_in_ip[67],67,0.103,0.103,0.103,1,0.003
channel_in_ip[68],68,0.104,0.104,0.104,1,0.003
channel_in_ip[69],69,0.103,0.103,0.103,1,0.002
channel_in_ip[70],70,0.118,0.118,0.118,1,0.008
channel_in_ip[71],71,0.118,0.118,0.118,1,0.008
channel_in_ip[72],72,0.081,0.081,0.081,1,0.006
channel_in_ip[73],73,0.081,0.081,0.081,1,0.006
channel_in_ip[74],74,0.081,0.081,0.081,1,0.007
channel_in_ip[75],75,0.081,0.081,0.081,1,0.007
channel_in_ip[76],76,0.106,0.106,0.106,1,0.003
channel_in_ip[77],77,0.103,0.103,0.103,1,0.003
channel_in_ip[78],78,0.103,0.103,0.103,1,0.003
channel_in_ip[79],79,0.104,0.104,0.104,1,0.003
channel_in_ip[80],80,0.103,0.103,0.103,1,0.002
channel_in_ip[81],81,0.106,0.106,0.106,1,0.003
channel_in_ip[82],82,0.104,0.104,0.104,1,0.003
channel_in_ip[83],83,0.104,0.104,0.104,1,0.002
channel_in_ip[84],84,0.111,0.111,0.111,1,0.003
channel_in_ip[85],85,0.103,0.103,0.103,1,0.002
channel_in_ip[86],86,0.108,0.108,0.108,1,0.003
channel_in_ip[87],87,0.107,0.107,0.107,1,0.003
channel_in_ip[88],88,0.103,0.103,0.103,1,0.002
channel_in_ip[89],89,0.103,0.103,0.103,1,0.002
channel_in_ip[90],90,0.104,0.104,0.104,1,0.003
channel_in_ip[91],91,0.106,0.106,0.106,1,0.003
channel_in_ip[92],92,0.106,0.106,0.106,1,0.003
channel_in_ip[93],93,0.105,0.105,0.105,1,0.003
channel_in_ip[94],94,0.105,0.105,0.105,1,0.003
channel_in_ip[95],95,0.107,0.107,0.107,1,0.003
channel_in_ip[96],96,0.104,0.104,0.104,1,0.003
channel_in_ip[97],97,0.104,0.104,0.104,1,0.003
channel_in_ip[98],98,0.113,0.113,0.113,1,0.003
channel_in_ip[99],99,0.103,0.103,0.103,1,0.003
channel_in_ip[100],100,0.106,0.106,0.106,1,0.003
channel_in_ip[101],101,0.106,0.106,0.106,1,0.003
channel_in_ip[102],102,0.107,0.107,0.107,1,0.002
channel_in_ip[103],103,0.107,0.107,0.107,1,0.003
channel_in_ip[104],104,0.106,0.106,0.106,1,0.003
channel_in_ip[105],105,0.104,0.104,0.104,1,0.002
channel_in_ip[106],106,0.109,0.109,0.109,1,0.002
channel_in_ip[107],107,0.111,0.111,0.111,1,0.003
channel_in_ip[108],108,0.109,0.109,0.109,1,0.003
channel_in_ip[109],109,0.107,0.107,0.107,1,0.003
channel_in_ip[110],110,0.105,0.105,0.105,1,0.003
channel_in_ip[111],111,0.104,0.104,0.104,1,0.002
channel_in_ip[112],112,0.104,0.104,0.104,1,0.002
channel_in_ip[113],113,0.105,0.105,0.105,1,0.003
channel_in_ip[114],114,0.107,0.107,0.107,1,0.003
channel_in_ip[115],115,0.103,0.103,0.103,1,0.002
channel_in_ip[116],116,0.107,0.107,0.107,1,0.003
channel_in_ip[117],117,0.104,0.104,0.104,1,0.002
channel_in_ip[118],118,0.105,0.105,0.105,1,0.002
channel_in_ip[119],119,0.103,0.103,0.103,1,0.003
channel_in_ip[120],120,0.107,0.107,0.107,1,0.003
channel_in_ip[121],121,0.111,0.111,0.111,1,0.003
channel_in_ip[122],122,0.105,0.105,0.105,1,0.002
channel_in_ip[123],123,0.103,0.103,0.103,1,0.002
channel_in_ip[124],124,0.104,0.104,0.104,1,0.002
channel_in_ip[125],125,0.104,0.104,0.104,1,0.002
channel_in_ip[126],126,0.105,0.105,0.105,1,0.003
channel_in_ip[127],127,0.109,0.109,0.109,1,0.002
channel_in_ip[128],128,0.105,0.105,0.105,1,0.003
channel_in_ip[129],129,0.104,0.104,0.104,1,0.002
channel_in_ip[130],130,0.106,0.106,0.106,1,0.003
channel_in_ip[131],131,0.106,0.106,0.106,1,0.003
channel_in_ip[132],132,0.103,0.103,0.103,1,0.002
channel_in_ip[133],133,0.109,0.109,0.109,1,0.002
channel_in_ip[134],134,0.107,0.107,0.107,1,0.002
channel_in_ip[135],135,0.104,0.104,0.104,1,0.003
channel_in_ip[136],136,0.106,0.106,0.106,1,0.003
channel_in_ip[137],137,0.104,0.104,0.104,1,0.002
channel_in_ip[138],138,0.105,0.105,0.105,1,0.003
channel_in_ip[139],139,0.104,0.104,0.104,1,0.002
channel_in_ip[140],140,0.168,0.168,0.168,1,0.024
channel_in_ip[141],141,0.144,0.144,0.144,1,0.025
channel_in_ip[142],142,0.141,0.141,0.141,1,0.003
channel_in_ip[143],143,0.143,0.143,0.143,1,0.006
channel_in_ip[144],144,0.124,0.124,0.124,1,0.01
channel_in_ip[145],145,0.128,0.128,0.128,1,0.01
channel_in_ip[146],146,0.092,0.092,0.092,1,0.011
channel_in_ip[147],147,0.091,0.091,0.091,1,0.01
channel_in_ip[148],148,0.091,0.091,0.091,1,0.01
channel_in_ip[149],149,0.09,0.09,0.09,1,0.01
channel_in_ip[150],150,0.092,0.092,0.092,1,0.011
channel_in_ip[151],151,0.09,0.09,0.09,1,0.009
channel_in_ip[152],152,0.091,0.091,0.091,1,0.01
channel_in_ip[153],153,0.09,0.09,0.09,1,0.009
channel_in_ip[154],154,0.093,0.093,0.093,1,0.009
channel_in_ip[155],155,0.09,0.09,0.09,1,0.01
channel_in_ip[156],156,0.095,0.095,0.095,1,0.008
channel_in_ip[157],157,0.09,0.09,0.09,1,0.01
channel_in_ip[158],158,0.091,0.091,0.091,1,0.01
channel_in_ip[159],159,0.095,0.095,0.095,1,0.008
channel_in_ip[160],160,0.09,0.09,0.09,1,0.01
channel_in_ip[161],161,0.092,0.092,0.092,1,0.01
channel_in_ip[162],162,0.091,0.091,0.091,1,0.01
channel_in_ip[163],163,0.091,0.091,0.091,1,0.01
channel_in_ip[164],164,0.091,0.091,0.091,1,0.01
channel_in_ip[165],165,0.091,0.091,0.091,1,0.01
channel_in_ip[166],166,0.091,0.091,0.091,1,0.01
channel_in_ip[167],167,0.091,0.091,0.091,1,0.01
channel_in_ip[168],168,0.092,0.092,0.092,1,0.008
channel_in_ip[169],169,0.092,0.092,0.092,1,0.01
channel_in_ip[170],170,0.091,0.091,0.091,1,0.01
channel_in_ip[171],171,0.09,0.09,0.09,1,0.01
channel_in_ip[172],172,0.091,0.091,0.091,1,0.01
channel_in_ip[173],173,0.092,0.092,0.092,1,0.01
channel_in_ip[174],174,0.092,0.092,0.092,1,0.01
channel_in_ip[175],175,0.091,0.091,0.091,1,0.011
channel_in_ip[176],176,0.091,0.091,0.091,1,0.009
channel_in_ip[177],177,0.093,0.093,0.093,1,0.011
channel_in_ip[178],178,0.093,0.093,0.093,1,0.009
channel_in_ip[179],179,0.09,0.09,0.09,1,0.01
channel_in_ip[180],180,0.092,0.092,0.092,1,0.008
channel_in_ip[181],181,0.094,0.094,0.094,1,0.008
channel_in_ip[182],182,0.09,0.09,0.09,1,0.009
channel_in_ip[183],183,0.092,0.092,0.092,1,0.01
channel_in_ip[184],184,0.092,0.092,0.092,1,0.009
channel_in_ip[185],185,0.09,0.09,0.09,1,0.009
channel_in_ip[186],186,0.09,0.09,0.09,1,0.009
channel_in_ip[187],187,0.089,0.089,0.089,1,0.009
channel_in_ip[188],188,0.091,0.091,0.091,1,0.008
channel_in_ip[189],189,0.09,0.09,0.09,1,0.009
channel_in_ip[190],190,0.091,0.091,0.091,1,0.009
channel_in_ip[191],191,0.09,0.09,0.09,1,0.008
channel_in_ip[192],192,0.089,0.089,0.089,1,0.008
channel_in_ip[193],193,0.091,0.091,0.091,1,0.008
channel_in_ip[194],194,0.091,0.091,0.091,1,0.008
channel_in_ip[195],195,0.09,0.09,0.09,1,0.008
channel_in_ip[196],196,0.09,0.09,0.09,1,0.009
channel_in_ip[197],197,0.091,0.091,0.091,1,0.007
channel_in_ip[198],198,0.09,0.09,0.09,1,0.009
channel_in_ip[199],199,0.09,0.09,0.09,1,0.007
channel_in_ip[200],200,0.089,0.089,0.089,1,0.008
channel_in_ip[201],201,0.089,0.089,0.089,1,0.008
channel_in_ip[202],202,0.091,0.091,0.091,1,0.01
channel_in_ip[203],203,0.09,0.09,0.09,1,0.009
channel_in_ip[204],204,0.091,0.091,0.091,1,0.009
channel_in_ip[205],205,0.09,0.09,0.09,1,0.009
channel_in_ip[206],206,0.091,0.091,0.091,1,0.008
channel_in_ip[207],207,0.091,0.091,0.091,1,0.007
channel_in_ip[208],208,0.09,0.09,0.09,1,0.009
channel_in_ip[209],209,0.09,0.09,0.09,1,0.009
channel_in_ip[210],210,0.142,0.142,0.142,1,0.005
channel_in_ip[211],211,0.114,0.114,0.114,1,0.005
channel_in_ip[212],212,0.079,0.079,0.079,1,0.003
channel_in_ip[213],213,0.078,0.078,0.078,1,0.003
channel_in_ip[214],214,0.079,0.079,0.079,1,0.004
channel_in_ip[215],215,0.079,0.079,0.079,1,0.003
channel_in_ip[216],216,0.105,0.105,0.105,1,0.003
channel_in_ip[217],217,0.105,0.105,0.105,1,0.003
channel_in_ip[218],218,0.103,0.103,0.103,1,0.002
channel_in_ip[219],219,0.105,0.105,0.105,1,0.003
channel_in_ip[220],220,0.103,0.103,0.103,1,0.002
channel_in_ip[221],221,0.103,0.103,0.103,1,0.003
channel_in_ip[222],222,0.105,0.105,0.105,1,0.003
channel_in_ip[223],223,0.106,0.106,0.106,1,0.003
channel_in_ip[224],224,0.105,0.105,0.105,1,0.003
channel_in_ip[225],225,0.106,0.106,0.106,1,0.003
channel_in_ip[226],226,0.108,0.108,0.108,1,0.003
channel_in_ip[227],227,0.105,0.105,0.105,1,0.003
channel_in_ip[228],228,0.106,0.106,0.106,1,0.004
channel_in_ip[229],229,0.104,0.104,0.104,1,0.003
channel_in_ip[230],230,0.107,0.107,0.107,1,0.004
channel_in_ip[231],231,0.106,0.106,0.106,1,0.003
channel_in_ip[232],232,0.106,0.106,0.106,1,0.002
channel_in_ip[233],233,0.105,0.105,0.105,1,0.003
channel_in_ip[234],234,0.103,0.103,0.103,1,0.003
channel_in_ip[235],235,0.103,0.103,0.103,1,0.002
channel_in_ip[236],236,0.106,0.106,0.106,1,0.003
channel_in_ip[237],237,0.103,0.103,0.103,1,0.002
channel_in_ip[238],238,0.103,0.103,0.103,1,0.002
channel_in_ip[239],239,0.107,0.107,0.107,1,0.003
channel_in_ip[240],240,0.103,0.103,0.103,1,0.002
channel_in_ip[241],241,0.103,0.103,0.103,1,0.002
channel_in_ip[242],242,0.103,0.103,0.103,1,0.002
channel_in_ip[243],243,0.104,0.104,0.104,1,0.003
channel_in_ip[244],244,0.103,0.103,0.103,1,0.002
channel_in_ip[245],245,0.104,0.104,0.104,1,0.003
channel_in_ip[246],246,0.104,0.104,0.104,1,0.003
channel_in_ip[247],247,0.107,0.107,0.107,1,0.003
channel_in_ip[248],248,0.103,0.103,0.103,1,0.003
channel_in_ip[249],249,0.105,0.105,0.105,1,0.002
channel_in_ip[250],250,0.105,0.105,0.105,1,0.002
channel_in_ip[251],251,0.106,0.106,0.106,1,0.003
channel_in_ip[252],252,0.105,0.105,0.105,1,0.003
channel_in_ip[253],253,0.111,0.111,0.111,1,0.004
channel_in_ip[254],254,0.107,0.107,0.107,1,0.003
channel_in_ip[255],255,0.106,0.106,0.106,1,0.002
channel_in_ip[256],256,0.104,0.104,0.104,1,0.003
channel_in_ip[257],257,0.103,0.103,0.103,1,0.003
channel_in_ip[258],258,0.11,0.11,0.11,1,0.004
channel_in_ip[259],259,0.108,0.108,0.108,1,0.003
channel_in_ip[260],260,0.108,0.108,0.108,1,0.003
channel_in_ip[261],261,0.103,0.103,0.103,1,0.003
channel_in_ip[262],262,0.106,0.106,0.106,1,0.003
channel_in_ip[263],263,0.103,0.103,0.103,1,0.002
channel_in_ip[264],264,0.103,0.103,0.103,1,0.002
channel_in_ip[265],265,0.108,0.108,0.108,1,0.003
channel_in_ip[266],266,0.103,0.103,0.103,1,0.003
channel_in_ip[267],267,0.103,0.103,0.103,1,0.002
channel_in_ip[268],268,0.104,0.104,0.104,1,0.002
channel_in_ip[269],269,0.108,0.108,0.108,1,0.003
channel_in_ip[270],270,0.103,0.103,0.103,1,0.002
channel_in_ip[271],271,0.103,0.103,0.103,1,0.002
channel_in_ip[272],272,0.107,0.107,0.107,1,0.003
channel_in_ip[273],273,0.134,0.134,0.134,1,0.002
channel_in_ip[274],274,0.103,0.103,0.103,1,0.003
channel_in_ip[275],275,0.103,0.103,0.103,1,0.002
channel_in_ip[276],276,0.13,0.13,0.13,1,0.001
channel_in_ip[277],277,0.105,0.105,0.105,1,0.002
channel_in_ip[278],278,0.106,0.106,0.106,1,0.003
channel_in_ip[279],279,0.129,0.129,0.129,1,0.002
channel_in_ip[280],280,0.168,0.168,0.168,1,0.024
channel_in_ip[281],281,0.145,0.145,0.145,1,0.026
channel_in_ip[282],282,0.142,0.142,0.142,1,0.004
channel_in_ip[283],283,0.137,0.137,0.137,1,0.002
channel_in_ip[284],284,0.124,0.124,0.124,1,0.011
channel_in_ip[285],285,0.136,0.136,0.136,1,0.002
channel_in_ip[286],286,0.092,0.092,0.092,1,0.011
channel_in_ip[287],287,0.094,0.094,0.094,1,0.009
channel_in_ip[288],288,0.096,0.096,0.096,1,0.013
channel_in_ip[289],289,0.095,0.095,0.095,1,0.009
channel_in_ip[290],290,0.094,0.094,0.094,1,0.012
channel_in_ip[291],291,0.093,0.093,0.093,1,0.011
channel_in_ip[292],292,0.092,0.092,0.092,1,0.011
channel_in_ip[293],293,0.094,0.094,0.094,1,0.011
channel_in_ip[294],294,0.093,0.093,0.093,1,0.011
channel_in_ip[295],295,0.095,0.095,0.095,1,0.012
channel_in_ip[296],296,0.094,0.094,0.094,1,0.013
channel_in_ip[297],297,0.094,0.094,0.094,1,0.011
channel_in_ip[298],298,0.095,0.095,0.095,1,0.009
channel_in_ip[299],299,0.092,0.092,0.092,1,0.011
channel_in_ip[300],300,0.093,0.093,0.093,1,0.011
channel_in_ip[301],301,0.092,0.092,0.092,1,0.011
channel_in_ip[302],302,0.095,0.095,0.095,1,0.009
channel_in_ip[303],303,0.091,0.091,0.091,1,0.01
channel_in_ip[304],304,0.093,0.093,0.093,1,0.012
channel_in_ip[305],305,0.097,0.097,0.097,1,0.01
channel_in_ip[306],306,0.095,0.095,0.095,1,0.012
channel_in_ip[307],307,0.094,0.094,0.094,1,0.011
channel_in_ip[308],308,0.092,0.092,0.092,1,0.011
channel_in_ip[309],309,0.093,0.093,0.093,1,0.009
channel_in_ip[310],310,0.092,0.092,0.092,1,0.011
channel_in_ip[311],311,0.094,0.094,0.094,1,0.01
channel_in_ip[312],312,0.095,0.095,0.095,1,0.009
channel_in_ip[313],313,0.1,0.1,0.1,1,0.009
channel_in_ip[314],314,0.093,0.093,0.093,1,0.01
channel_in_ip[315],315,0.093,0.093,0.093,1,0.011
channel_in_ip[316],316,0.093,0.093,0.093,1,0.011
channel_in_ip[317],317,0.093,0.093,0.093,1,0.011
channel_in_ip[318],318,0.091,0.091,0.091,1,0.01
channel_in_ip[319],319,0.093,0.093,0.093,1,0.009
channel_in_ip[320],320,0.091,0.091,0.091,1,0.01
channel_in_ip[321],321,0.093,0.093,0.093,1,0.011
channel_in_ip[322],322,0.092,0.092,0.092,1,0.011
channel_in_ip[323],323,0.091,0.091,0.091,1,0.01
channel_in_ip[324],324,0.093,0.093,0.093,1,0.011
channel_in_ip[325],325,0.092,0.092,0.092,1,0.01
channel_in_ip[326],326,0.094,0.094,0.094,1,0.012
channel_in_ip[327],327,0.092,0.092,0.092,1,0.011
channel_in_ip[328],328,0.092,0.092,0.092,1,0.011
channel_in_ip[329],329,0.094,0.094,0.094,1,0.011
channel_in_ip[330],330,0.093,0.093,0.093,1,0.011
channel_in_ip[331],331,0.092,0.092,0.092,1,0.011
channel_in_ip[332],332,0.098,0.098,0.098,1,0.008
channel_in_ip[333],333,0.094,0.094,0.094,1,0.012
channel_in_ip[334],334,0.096,0.096,0.096,1,0.01
channel_in_ip[335],335,0.095,0.095,0.095,1,0.008
channel_in_ip[336],336,0.093,0.093,0.093,1,0.011
channel_in_ip[337],337,0.094,0.094,0.094,1,0.009
channel_in_ip[338],338,0.093,0.093,0.093,1,0.011
channel_in_ip[339],339,0.095,0.095,0.095,1,0.008
channel_in_ip[340],340,0.091,0.091,0.091,1,0.01
channel_in_ip[341],341,0.096,0.096,0.096,1,0.008
channel_in_ip[342],342,0.097,0.097,0.097,1,0.008
channel_in_ip[343],343,0.096,0.096,0.096,1,0.007
channel_in_ip[344],344,0.095,0.095,0.095,1,0.007
channel_in_ip[345],345,0.094,0.094,0.094,1,0.009
channel_in_ip[346],346,0.093,0.093,0.093,1,0.008
channel_in_ip[347],347,0.092,0.092,0.092,1,0.008
channel_in_ip[348],348,0.093,0.093,0.093,1,0.008
channel_in_ip[349],349,0.09,0.09,0.09,1,0.009
